Lake,Year,Date,Depth_m,Temp_C,DO_mgL,O2Sat%,SpecificConductivity_uscm
Counts,1997,13-Aug-97,1,13.2,9.6,,
Counts,1997,13-Aug-97,2,13.2,9.3,,
Counts,1997,13-Aug-97,3,13.2,9.6,,
Counts,1997,13-Aug-97,4,13.2,9.4,,
Counts,1997,13-Aug-97,5,13.2,9.5,,
Counts,1997,13-Aug-97,6,13.2,9.4,,
Counts,1997,13-Aug-97,7,13.2,9.6,,
Counts,1997,13-Aug-97,8,13.2,9.3,,
Counts,1997,13-Aug-97,9,13.2,9.5,,
Counts,1997,13-Aug-97,10,13.2,9.3,,
Counts,1997,13-Aug-97,11,13.2,9.2,,
Counts,1997,13-Aug-97,12,13,8.3,,
Counts,1998,14-Aug-98,0.5,13.6,7.91,,
Counts,1998,14-Aug-98,1,13.6,8.08,,
Counts,1998,14-Aug-98,1.5,13.6,8.28,,
Counts,1998,14-Aug-98,2,13.6,8.25,,
Counts,1998,14-Aug-98,2.5,13.6,8.31,,
Counts,1998,14-Aug-98,3,13.6,7.7,,
Counts,1998,14-Aug-98,3.5,13.6,8.33,,
Counts,1998,14-Aug-98,4,13.6,7.8,,
Counts,1998,14-Aug-98,4.5,13.6,7.65,,
Counts,1998,14-Aug-98,5,13.6,7.96,,
Counts,1998,14-Aug-98,5.5,13.6,7.66,,
Counts,1998,14-Aug-98,6,13.6,7.94,,
Counts,1998,14-Aug-98,6.5,13.6,7.3,,
Counts,1998,14-Aug-98,7,13.6,8.01,,
Counts,1998,14-Aug-98,7.5,13.6,7.23,,
Counts,1998,14-Aug-98,8,13.6,7.32,,
Counts,1998,14-Aug-98,8.5,13.6,7.39,,
Counts,1998,14-Aug-98,9,13.5,7.4,,
Counts,1998,14-Aug-98,9.5,13.5,7.35,,
Counts,1998,14-Aug-98,10,13.5,7.68,,
Counts,1998,14-Aug-98,10.5,13.5,7.6,,
Counts,1999,8-Aug-99,0.5,12.7,9.7,91,
Counts,1999,8-Aug-99,1,12.7,9.7,91,
Counts,1999,8-Aug-99,1.5,12.7,9.7,91,
Counts,1999,8-Aug-99,2,12.7,9.7,91,
Counts,1999,8-Aug-99,2.5,12.7,9.7,91,
Counts,1999,8-Aug-99,3,12.7,9.7,91,
Counts,1999,8-Aug-99,3.5,12.7,9.7,91,
Counts,1999,8-Aug-99,4,12.7,9.6,91,
Counts,1999,8-Aug-99,4.5,12.6,9.5,89,
Counts,1999,8-Aug-99,5,12.7,9.6,92,
Counts,1999,8-Aug-99,5.5,12.7,9.7,92,
Counts,1999,8-Aug-99,6,12.6,9.7,91,
Counts,1999,8-Aug-99,6.5,12.6,9.7,91,
Counts,1999,8-Aug-99,7,12.6,9.7,91,
