Record Number,Year,Lake,Date,SecchiDepth_m,Bottom?
24,1997,Counts,14-Aug-97,5.4,
34,1998,Counts,14-Aug-98,6.4,
48,1999,Counts,8-Aug-99,5.5,
62,2000,Counts,1-Aug-00,6,
74,2001,Counts,30-Jul-01,6.5,
85,2002,Counts,7-Aug-02,4,
98,2003,Counts,7-Aug-03,4.5,
110,2004,Counts,13-Aug-04,5.5,
116,2005,Counts,7-Aug-05,6,
130,2006,Counts,4-Aug-06,7,
144,2007,Counts,6-Aug-07,5.5,
158,2008,Counts,31-Jul-08,5.5,
172,2009,Counts,1-Aug-09,4.5,
186,2010,Counts,6-Aug-10,4.5,
200,2011,Counts,5-Aug-11,5.2,
,2012,Counts,8-Aug-12,4,
,2013,Counts,1-Aug-13,5.7,
,2014,Counts,9-Aug-13,4.9,
,2015,Counts,5-Aug-15,6.1,
,2016,Counts,30-Jul-16,6,
,2017,Counts,6-Aug-17,4.9,
,2018,Counts,31-Jul-18,4.4,
,2019,Counts,7-Aug-19,5,
,2020,Counts,4-Aug-20,5.55,
,2021,Counts,30-Jul-21,5.4,
49,1999,Cujo,8-Aug-99,4.5,
63,2000,Cujo,31-Jul-00,4.5,
75,2001,Cujo,30-Jul-01,3,
86,2002,Cujo,7-Aug-02,1.5,
99,2003,Cujo,4-Aug-03,2.5,
111,2004,Cujo,10-Aug-04,4.4,
126,2005,Cujo,9-Aug-05,4.5,
140,2006,Cujo,4-Aug-06,5.5,
154,2007,Cujo,5-Aug-07,4,
168,2008,Cujo,26-Jul-08,4.6,
182,2009,Cujo,31-Jul-09,3.3,
196,2010,Cujo,4-Aug-10,3.2,
210,2011,Cujo,4-Aug-11,5.7,
,2012,Cujo,6-Aug-12,4,
,2013,Cujo ,30-Jul-13,4.5,
,2014,Cujo,7-Aug-14,3.3,
,2015,Cujo,4-Aug-15,4.7,
,2016,Cujo,5-Aug-16,3.1,
,2017,Cujo,11-Aug-17,2.8,
,2018,Cujo,2-Aug-18,2.7,
,2019,Cujo,11-Aug-19,3,
,2020,Cujo,6-Aug-20,1.1,
,2021,Cujo,4-Aug-21,2.5,
,2001,Fay Bay,5-Aug-01,4,
,2002,Fay Bay,8-Aug-02,2.5,
,2008,Fay Bay,3-Aug-08,4.6,
,2009,Fay Bay,4-Aug-09,4.9,
,2010,Fay Bay,13-Aug-10,4.3,
,2014,Fay Bay,1-Aug-14,3.5,
,2015,Fay Bay,6-Aug-15,5.2,
,2016,Fay Bay,8-Aug-16,4.1,
,2019,Fay Bay,15-Aug-19,3,
,2017,Fay Bay ,5-Aug-17,4.9,
,2018,Fay Bay ,4-Aug-18,4.5,
,2020,Fay Bay,11-Aug-20,3.25,
,2021,Fay Bay,3-Aug-21,3.4,
3,1994,Grizzly,20-Aug-94,7,
19,1997,Grizzly,8-Aug-97,4,
29,1998,Grizzly,8-Aug-98,5,
42,1999,Grizzly,6-Aug-99,4.7,
56,2000,Grizzly,3-Aug-00,5.5,
90,2003,Grizzly,8-Aug-03,5,
118,2005,Grizzly,7-Aug-20,6.5,
132,2006,Grizzly,7-Aug-06,5.5,
146,2007,Grizzly,4-Aug-07,5,
160,2008,Grizzly,27-Jul-08,5.5,
174,2009,Grizzly,2-Aug-09,4.8,
188,2010,Grizzly,4-Aug-10,not collected,
202,2011,Grizzly,1-Aug-11,5.5,
,2012,Grizzly,2-Aug-12,7,
,2013,Grizzly,31-Jul-13,4.5,
,2014,Grizzly,10-Aug-14,5,
,2015,Grizzly,6-Aug-15,7.5,
,2016,Grizzly,1-Aug-16,7,
