Lake,Year,Date,Month,LAB ID,Depth,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Total Nitrogen,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Radium.226,Notes,Nitrate and Nitrite (as N),Anion Sum,Cation Sum,,,,,
Grizzly,1994,20-Jun-94,July,,1,9.8,7,1.56,6.27,<1,,0.26,2,2,<1.0,,0.6,<0.02,<1.0,<0.005,<0.005,0.001,0.002,0.003,,,0.025,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.339,,<0.001,<0.001,<0.0005,<0.01,<0.0005,,0.21,<0.005,<0.00005,<0.001,<0.0005,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
Grizzly,1994,20-Jun-94,July,,10,9.7,7,1.92,6.18,5,,0.34,2.5,2.5,<1.0,,0.6,<0.02,<1.0,<0.005,<0.005,<0.001,0.002,0.003,,,0.018,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.395,,<0.001,<0.001,0.0011,<0.01,<0.0005,,0.232,<0.005,<0.00005,<0.001,<0.0005,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,,,,,,,,,,
Grizzly,1994,20-Jun-94,July,,21,9.6,7,1.37,6.21,3,,0.35,2.4,2.4,<1.0,,0.5,<0.02,<1.0,<0.005,0.007,0.001,0.002,0.002,,,0.029,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.533,,<0.001,<0.001,0.001,<0.01,<0.0005,,0.319,<0.005,<0.00005,<0.001,0.0005,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Grizzly,1994,20-Jun-94,July,,30,9.6,7,1.99,6.21,3,,0.21,2.2,2.2,<1.0,,0.6,<0.02,<1.0,<0.005,0.011,0.001,0.001,0.003,,,0.02,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.409,,<0.001,<0.001,<0.0005,<0.01,<0.0005,,0.249,<0.005,<0.00005,<0.001,<0.0005,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,0.005,,,,,,,,,,,,
Grizzly,1994,20-Jun-94,July,,42,9,10,1.94,6.09,67,,20.5,2.2,2.2,<1.0,,0.6,<0.02,<1.0,<0.005,0.011,0.001,0.003,0.083,,,0.234,<0.0001,0.0002,<0.010,<0.003,,<0.050,<0.0001,0.536,,<0.001,<0.001,0.0023,0.18,<0.0005,,0.317,<0.005,<0.00005,<0.001,0.0008,,,<0.0005,,0.00003,,,,,,,,,,0.0001,<0.005,0.004,,,,,,,,,,,,
Grizzly,1994,13-Aug-94,August,,0,10.2,8,3.35,6.15,<1,,0.54,2.3,2.3,<1.0,,0.7,0.03,1,<0.005,<0.005,0.001,0.001,0.001,,,0.053,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.694,,<0.001,<0.001,0.001,0.01,<0.001,,0.41,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,0.005,,,,,,,,,,,,
Grizzly,1994,13-Aug-94,August,,9,9.8,7,3.32,5.92,<1,,0.58,3.4,3.4,<1.0,,0.7,0.03,<1.0,0.005,0.005,0.001,0.002,0.004,,,0.056,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.687,,<0.001,<0.001,0.001,<0.01,<0.001,,0.404,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Grizzly,1994,13-Aug-94,August,,18,10,7,3.44,6.21,2,,0.22,3,3,<1.0,,0.6,0.03,<1.0,0.013,0.013,0.001,0.002,0.004,,,0.055,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.706,,<0.001,<0.001,0.001,0.01,<0.001,,0.411,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,,,,,,,,,,
Grizzly,1994,13-Aug-94,August,,27,10.2,7,3.48,6.11,<1,,0.17,2.3,2.3,<1.0,,0.6,0.03,1.6,0.013,0.018,0.002,0.002,0.004,,,0.066,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.703,,<0.001,<0.001,0.0015,0.02,<0.001,,0.418,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00006,<0.005,<0.001,,,,,,,,,,,,
Grizzly,1994,13-Aug-94,August,,36,10.1,7,3.34,5.94,<1,,0.19,2.3,2.3,<1.0,,0.6,0.03,1.2,0.014,0.018,0.001,0.004,0.006,,,0.064,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.709,,<0.001,<0.001,0.0015,0.01,<0.001,,0.416,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,,,,,,,,,,
