Stream,Year,Date,Month,Lab ID,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Notes
Kodiak-Little,1994,12-Jun-94,June,,14.8,11,6.18,6.34,3,,4.59,4.7,4.7,<1.0,,1.4,,1.1,0.007,0.04,0.006,0.005,0.022,,0.345,<0.0001,<0.0001,0.014,<0.003,,<0.050,<0.0001,1.2,,0.001,<0.001,0.003,0.38,<0.001,,1.21,0.01,<0.00005,<0.001,<0.001,,,<0.0005,,0.00003,,,,,,,,,,0.00006,<0.005,0.003,,,
Vulture-Polar,1994,13-Jun-94,June,,13.9,8,3.12,6.18,<1,,0.4,4.5,4.5,<1.0,,<0.5,,<1.0,<0.005,<0.005,<0.001,<0.001,<0.001,,0.033,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.561,,<0.001,<0.001,<0.0005,0.03,<0.001,,0.442,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,<0.00001,<0.005,<0.001,,,
Vulture-Polar,1994,13-Jun-94,June,,9.8,6,3.08,6.19,<1,,0.44,2.8,2.8,<1.0,,<0.5,,1.7,<0.005,<0.005,<0.001,0.001,0.004,,0.019,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.635,,<0.001,<0.001,<0.0005,0.03,<0.001,,0.471,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,
Vulture-Polar,1994,13-Jun-94,June,,9.8,6,3.21,6.15,<1,,0.38,2.7,2.7,<1.0,,<0.5,,1.5,<0.005,<0.005,<0.001,0.002,0.004,,0.038,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.776,,<0.001,<0.001,0.001,0.03,<0.001,,0.441,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00001,<0.005,0.003,,,
Kodiak-Little,1994,3-Aug-94,August,,17.7,13,5.85,6.64,1,,0.63,4.6,4.6,<1.0,,1.3,,1.5,0.019,<0.005,0.002,0.004,0.007,,0.029,<0.0001,<0.0001,<0.010,<0.003,,<0.050,0.0003,1.19,,<0.001,<0.001,0.001,0.05,<0.001,,0.807,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,0.004,,,
Vulture-Polar,1994,4-Aug-94,August,,13.5,8,3.83,6.26,3,,0.9,3.5,3.5,<1.0,,0.6,,<1.0,0.013,0.044,0.002,0.004,0.014,,0.033,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.631,,<0.001,<0.001,0.001,0.12,<0.001,,0.547,0.011,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,
Slipper-Lac de Gras,1994,9-Aug-94,August,,12.1,8,3.73,6.34,<1,,0.4,2.8,2.8,<1.0,,0.9,,1,0.009,0.029,0.002,0.004,0.004,,0.018,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,0.795,,<0.001,<0.001,<0.0005,0.06,<0.001,,0.508,0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,0.001,,,
Nema-Martine,1995,18-Jun-95,June,,15.5,12,5.14,6.44,2,,2.29,4.9,4.9,<1.0,,0.9,,1.8,0.007,0.059,0.002,0.002,0.013,,0.15,<0.0001,<0.0001,<0.01,<0.003,,<0.05,<0.0001,1.06,,<0.001,<0.001,0.0012,0.12,<0.001,,0.654,0.011,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00011,<0.005,0.001,,,
Slipper-Lac de Gras,1995,18-Jun-95,June,,12.2,6,4.09,6.17,1,,1.52,3.2,3.2,<1.0,,0.7,,<1.0,0.009,0.023,0.002,0.001,0.011,,0.018,<0.0001,<0.0001,<0.01,<0.003,,<0.05,<0.0001,0.779,,<0.001,<0.001,0.0013,0.07,<0.001,,0.483,0.009,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00012,<0.005,0.001,,,
Slipper-Lac de Gras,1995,18-Jun-95,June,,12.2,8,4.11,6.2,<1,,1.27,3.3,3.3,<1.0,,0.8,,1.6,0.005,0.022,0.002,0.002,0.011,,0.115,<0.0001,0.0001,<0.01,<0.003,,<0.05,<0.0001,0.821,,0.002,0.001,0.0018,0.08,<0.001,,0.551,0.01,<0.00005,<0.001,0.001,,,<0.00001,,0.00001,,,,,,,,,,0.00011,0.005,0.002,,,
Kodiak-Little,1995,19-Jun-95,June,,18.5,13,6.02,6.32,10,,12.4,4.4,4.4,<1.0,,1.2,,1.9,0.017,0.107,0.006,0.004,0.039,,0.49,<0.0001,0.0003,<0.010,<0.003,,<0.05,<0.0001,1.3,,0.001,<0.001,0.0026,0.44,<0.001,,0.841,0.016,<0.00005,<0.001,0.003,,,<0.0005,,0.00001,,,,,,,,,,0.00018,<0.005,0.004,,,
Vulture-Polar,1995,6-Jul-95,July,,11.3,6,3.53,6.46,3,,0.25,3.4,3.4,<1.0,,<0.5,,1,<0.02,<0.005,0.001,<0.001,0.004,,0.027,<0.0001,0.0007,<0.01,<0.003,,<0.05,<0.0001,0.606,,<0.001,0.001,<0.0005,0.05,<0.001,,0.493,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,0.001,,,
Kodiak-Little,1995,8-Aug-95,August,,23,13,7.77,6.9,2,,1.59,6.5,6.5,<1.0,,1.2,,2.5,0.066,0.04,0.002,0.001,0.011,,0.13,<0.0001,0.0002,<0.01,<0.003,,<0.05,<0.0001,1.55,,<0.001,<0.001,0.002,0.13,0.001,,0.967,<0.005,<0.00005,<0.001,0.002,,,<0.0005,,<0.00001,,,,,,,,,,0.00015,<0.005,0.002,,,
Nema-Martine,1995,10-Aug-95,August,,17.5,12,4.92,6.51,<1,,0.39,5.2,5.2,<1.0,,0.8,,1.8,0.023,<0.005,0.001,0.001,0.006,,0.029,<0.0001,<0.0001,<0.01,<0.003,,<0.05,0.0002,0.983,,<0.001,<0.001,0.002,0.07,0.001,,0.616,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,0.003,,,
Slipper-Lac de Gras,1995,10-Aug-95,August,,15.1,7,4.22,6.61,1,,0.39,4,4,<1.0,,1.2,,<1.0,0.014,<0.005,0.001,0.002,0.005,,0.022,<0.0001,0.0001,<0.01,<0.003,,<0.05,0.0001,0.837,,<0.001,<0.001,0.0005,0.04,<0.001,,0.528,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,0.002,,,
Vulture-Polar,1995,10-Aug-95,August,,11.4,8,3.8,6.32,3,,0.47,4.1,4.1,<1.0,,0.6,,1.3,0.011,<0.005,0.001,0.001,0.011,,0.032,<0.0001,0.0001,<0.01,<0.003,,<0.05,0.0001,0.665,,<0.001,<0.001,0.0005,0.08,<0.001,,0.527,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,0.003,,,
Nema-Martine,1995,13-Sep-95,September,,18.7,10,5.04,6.53,3,,0.5,4.9,4.9,<1.0,,0.9,,<1.0,0.016,<0.005,0.001,0.003,0.007,,0.25,<0.0001,<0.0001,<0.01,<0.003,,<0.05,<0.0001,1.01,,<0.001,0.001,0.001,0.04,<0.001,,0.686,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,
