"site","site_type","year","wshed","concent","body","Alkalinity","Aluminum","AmmoniaN","Antimony","Arsenic","Barium","Beryllium","Bicarbonate","Boron","Cadmium","Calcium","Carbonate","Chloride","Chromium","Cobalt","Conductivity","Copper","Fluoride","Hardness","Hydroxide","Iron","Lead","Magnesium","Manganese","Mercury","Molybdenum","Nickel","NitrateN","NitriteN","Orthophosphate","pH","Phosphorus","Potassium","Selenium","Silicon","Silver","Sodium","Strontium","TDS","TKN","TOC","TSS","Turbidity","Uranium","Vanadium","Zinc","easting","northing","row_ind"
"Counts",TRUE,"1997","reference",0,"lake",4,0.00733333333333333,0.00466666666666667,3.66666666666667e-05,2e-04,0.00114,0.00025,NA,0.002,NA,0.546666666666667,NA,0.25,0.00025,5e-05,18,4e-04,NA,3.91,NA,0.03,2.5e-05,0.416666666666667,0.00232,5e-06,2.5e-05,2e-04,0.00733333333333333,0.000833333333333333,5e-04,7.04666666666667,0.00833333333333333,1,5e-04,0.146666666666667,5e-06,1,0.00383333333333333,5,NA,NA,4,NA,8.33333333333333e-06,5e-04,5e-04,534314,7169852,1
"Counts",TRUE,"1998","reference",0,"lake",NA,0.00203333333333333,0.00704166666666667,9.08333333333333e-05,0.000226666666666667,0.00112166666666667,1e-04,NA,0.00233333333333333,2.5e-05,NA,NA,NA,0.0003825,5e-05,13.9166666666667,3e-04,NA,3,NA,0.00270833333333333,2.5e-05,0.427666666666667,0.0003125,1e-05,3e-05,0.000210833333333333,0.00333333333333333,NA,5e-04,6.77333333333333,0.00691666666666667,NA,5e-05,NA,5.41666666666667e-05,NA,NA,NA,NA,NA,1.16666666666667,0.441666666666667,2.5e-05,2.5e-05,4e-04,534314,7169852,2
"Counts",TRUE,"1999","reference",0,"lake",2.91666666666667,NA,0.0025,NA,NA,NA,NA,6,NA,NA,NA,2.5,0.5,NA,NA,12.5833333333333,NA,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,0.003,0.003,5e-04,6.51666666666667,0.0045,NA,NA,NA,NA,NA,NA,5,0.196666666666667,NA,2.25,0.405,NA,NA,NA,534314,7169852,3
"Counts",TRUE,"2000","reference",0,"lake",4.625,0.006275,0.0025,9.5e-05,0.0001975,0.0013725,1e-04,6.5,5e-04,2.5e-05,0.4725,2.5,0.5,3e-05,5e-05,14.35,3e-04,NA,3,2.5,0.035,0.00012625,0.42575,0.0029,1e-05,3e-05,0.00028,0.003,0.001,5e-04,6.525,0.0035,0.40175,5e-05,NA,5e-05,0.4135,0.003725,5.5,0.18,NA,1.5,0.3,2.5e-05,2.5e-05,4e-04,534314,7169852,4
"Counts",TRUE,"2001","reference",0,"lake",4.625,0.007975,0.01225,8.75e-05,1.5e-05,0.0015475,1e-04,6.5,0.00075,2.5e-05,0.59425,2.5,0.5,3e-05,5e-05,13.975,3e-04,NA,3,2.5,0.032,2.5e-05,0.48525,0.00305,1e-05,3e-05,0.0003625,0.003,0.00325,NA,6.575,0.014,0.47025,5e-05,0.075,5e-05,0.483,0.0043,5.5,0.11,NA,1.5,0.1,2.5e-05,2.5e-05,4e-04,534314,7169852,5
"Counts",TRUE,"2002","reference",0,"lake",7,0.010575,0.0025,9e-05,0.00021,0.0014375,1e-04,9,0.0015,2.5e-05,0.61325,2.5,0.5,3e-05,5e-05,14.8,0.000775,NA,4,2.5,0.028,0.00032,0.5365,0.003075,1e-05,3e-05,0.0003175,0.003,0.001,0.001625,6.7,0.00625,0.504,5e-05,0.05,5e-05,0.658,0.004575,8,0.165,NA,1.5,0.0975,2.5e-05,2.5e-05,NA,534314,7169852,6
"Counts",TRUE,"2003","reference",0,"lake",2.5,0.00905,0.0025,0.000195,0.00022,0.00158,1e-04,2.5,0.002,2.5e-05,0.5695,2.5,0.5,3e-05,5e-05,12.3,3e-04,NA,4,2.5,0.0305,2.5e-05,0.5125,0.00265,1e-05,3e-05,0.00026,0.003,0.001,5e-04,6.9,0.004,0.483,5e-05,0.15,5e-05,0.5335,0.004,3,0.17,NA,2.25,0.395,2.5e-05,2.5e-05,4e-04,534314,7169852,7
"Counts",TRUE,"2004","reference",0,"lake",4,0.00555,0.0039,5e-05,0.0001975,0.001785,1e-04,4,0.00135,2.5e-05,0.6405,0.5,0.25,5e-05,5e-05,11.95,0.00025,0.022,3.7,0.5,0.018,2.5e-05,0.5105,0.00225,1e-05,2.5e-05,0.000285,0.0025,5e-04,5e-04,6.76,0.0097,0.5185,5e-05,0.025,5e-05,0.5765,0.004375,7.85,0.2065,1.99,1.5,0.425,7.5e-06,2.5e-05,5e-04,534314,7169852,8
"Counts",TRUE,"2005","reference",0,"lake",3.6,0.0065,0.0071,5e-05,0.000201333333333333,0.00136333333333333,1e-04,3.6,0.0015,2.5e-05,0.662333333333333,1,0.25,5e-05,5e-05,12.3666666666667,0.00025,0.0233333333333333,3.87,1,0.0156666666666667,3.33333333333333e-05,0.538333333333333,0.00171,1e-05,2.5e-05,0.000243333333333333,0.0025,5e-04,5e-04,6.61333333333333,0.00403333333333333,0.513666666666667,5e-05,0.0773333333333333,5e-05,0.593,0.00449333333333333,5.6,0.19,2.28666666666667,1.5,0.466666666666667,1.13333333333333e-05,2.5e-05,5e-04,534314,7169852,9
"Counts",TRUE,"2006","reference",0,"lake",3.55,0.00915,0.012,5e-05,0.0002305,0.00179,1e-04,3.55,0.0015,2.5e-05,0.6385,1,0.25,5e-05,5e-05,11.85,0.000645,NA,3.93,1,0.0415,0.0003605,0.567,0.003415,1e-05,2.5e-05,0.000345,0.0025,5e-04,5e-04,6.81,0.00665,0.5285,5e-05,0.13,5e-05,0.57,0.00432,5.65,0.175,3.35,1.5,0.815,1.3e-05,2.5e-05,5e-04,534314,7169852,10
